case_no,facenet_score,arcface_score
1,0.7844,0.5323
2,0.7561,0.4401
3,0.6682,0.4996
4,0.4948,0.5602
5,-0.0452,0.0316
6,0.8619,0.7032
7,0.7968,0.7299
8,0.8383,0.7629
9,0.4789,0.4209
10,0.6968,0.641
11,0.7617,0.6371
12,0.7822,0.6335
13,0.5202,0.4714
14,0.8625,0.6898
15,0.9234,0.7349
16,0.5226,0.4043
17,0.649,0.4281
18,0.817,0.7549
19,0.6244,0.6304
20,0.8213,0.2494
21,0.5725,0.6016
22,0.4428,0.4665
23,0.7195,0.4881
24,0.6743,0.622
25,0.5573,0.2631
26,0.515,0.3728
27,0.5715,0.3844
28,0.5254,0.3449
29,0.8755,0.7492
30,0.6653,0.6229
31,0.8297,0.7112
32,0.6939,0.5604
33,0.8131,0.6171
34,0.0784,0.3078
35,0.6314,0.4796
36,0.6564,0.4045
37,0.573,0.4344
38,0.6251,0.3655
39,0.7104,0.3969
40,0.7361,0.6657
41,0.5629,0.4622
42,0.5226,0.4443
43,0.7976,0.7222
44,0.5499,0.4161
45,0.7816,0.6351
46,0.837,0.7999
47,0.6002,0.5363
48,0.6302,0.3727
49,0.3622,0.163
50,0.4087,0.2584
51,0.0972,0.0981
52,0.1239,0.2259
53,-0.0566,0.1168
54,-0.3316,-0.0927
55,0.0414,0.2516
56,0.0442,0.0831
57,0.0347,-0.005
58,0.0978,0.0441
59,0.3333,0.2891
60,0.1499,0.1415
61,0.1342,0.1106
62,0.0127,0.0066
63,-0.0695,-0.0342
64,0.117,0.1264
65,0.1094,0.1337
66,0.2621,0.2462
67,-0.126,-0.0039
68,0.0633,0.0438
69,0.0449,-0.0084
70,0.1199,-0.0603
71,0.247,0.1692
72,0.3306,0.0349
73,-0.239,0.0613
74,0.0415,0.0538
75,0.0907,0.1477
76,0.198,0.0912
77,0.1399,0.1564
78,-0.0032,0.0019
79,-0.0904,0.0095
80,-0.0878,-0.0039
81,-0.0085,0.0445
82,0.1026,0.0211
83,0.0861,0.0061
84,0.1524,0.1207
85,0.4547,0.2897
86,0.0399,-0.1021
87,0.4633,0.2047
88,0.018,0.1724
89,0.1186,0.1738
90,0.0431,0.0987
91,0.2436,0.0834
92,0.0031,0.0204
93,0.1069,0.0197
94,0.0425,0.2716
95,0.1506,0.0611
96,0.0634,0.0054
97,-0.1002,0.081
98,0.1086,0.0827
99,0.0102,-0.0052
100,-0.0393,-0.0624
