case_no,facenet_score,arcface_score
1,0.4885,0.5008
2,0.8342,0.5299
3,0.8797,0.6970
4,0.3386,0.3854
5,0.7749,0.6920
6,0.8766,0.6686
7,0.6309,0.3959
8,0.5952,0.5088
9,0.5721,0.4900
10,0.6703,0.3828
11,0.6493,0.5943
12,0.8956,0.7900
13,0.6472,0.6347
14,0.6311,0.3020
15,0.8440,0.7516
16,0.8549,0.6129
17,0.8713,0.6579
18,0.7454,0.7013
19,0.9263,0.7915
20,0.6757,0.6305
21,0.8361,0.6203
22,0.7253,0.5716
23,0.7862,0.5989
24,0.6244,0.4810
25,0.7780,0.6720
26,0.7640,0.5877
27,0.7997,0.7671
28,0.3230,0.1379
29,0.5137,0.3068
30,0.6884,0.4403
31,0.8357,0.7913
32,0.8088,0.7001
33,0.6500,0.4302
34,0.7145,0.6181
35,0.8585,0.7383
36,0.5281,0.4615
37,0.6821,0.4756
38,0.6663,0.4690
39,0.5766,0.4606
40,0.8383,0.8262
41,0.7468,0.6755
42,0.6862,0.5728
43,0.8224,0.5419
44,0.7446,0.4617
45,0.7746,0.6170
46,0.6120,0.4815
47,0.7792,0.6580
48,0.1504,0.0106
49,0.4846,0.3360
50,0.3868,0.5714
51,0.2331,0.3913
52,0.2380,0.1241
53,-0.1387,0.0774
54,-0.0699,0.0219
55,0.1720,0.0228
56,0.1011,0.1809
57,0.1099,0.0867
58,-0.0412,-0.0090
59,0.3271,0.2326
60,-0.0092,0.0304
61,-0.2476,0.0785
62,0.1058,0.0428
63,-0.0211,-0.0150
64,0.0569,0.1061
65,0.3387,0.1865
66,0.0866,0.0692
67,-0.0538,0.0808
68,-0.1488,0.0332
69,0.0656,-0.0080
70,0.2884,0.0695
71,0.1247,0.1530
72,0.0389,-0.0495
73,0.3533,0.2905
74,0.2029,0.0569
75,0.4208,0.2267
76,0.1301,0.1430
77,0.0992,0.0328
78,-0.1711,0.0678
79,0.0901,-0.0207
80,-0.0012,-0.0219
81,0.2142,0.1020
82,0.2287,0.2643
83,-0.0562,0.2090
84,0.1357,0.0865
85,0.1158,-0.0294
86,0.2327,-0.0945
87,-0.1031,-0.0016
88,-0.0670,-0.0431
89,-0.0679,0.0148
90,0.0427,0.1201
91,0.4290,0.3243
92,0.0031,0.0412
93,0.1512,0.0975
94,0.1573,0.1266
95,0.2594,0.2283
96,0.0191,0.0965
97,-0.1288,-0.0801
98,0.3523,0.3077
99,-0.0151,0.1566
100,0.0664,-0.0185
