case_no,facenet_score,arcface_score
1,0.6194,0.4688
2,0.7582,0.6074
3,0.8950,0.7802
4,0.4807,0.4331
5,0.5929,0.4906
6,0.5083,0.2136
7,0.7164,0.0216
8,0.5711,0.4446
9,0.3452,0.3920
10,0.3585,0.4107
11,0.6277,0.3992
12,0.9130,0.9004
13,0.2255,0.7858
14,0.6511,0.6137
15,0.5799,0.5049
16,0.8153,0.5385
17,0.9286,0.8401
18,0.5922,0.5081
19,0.8612,0.7415
20,0.4696,0.5303
21,-0.0396,0.4454
22,0.8213,0.7146
23,0.2033,0.4652
24,0.6321,0.5181
25,0.6802,0.2812
26,0.7613,0.6529
27,0.2334,0.2132
28,0.4200,0.4234
29,0.8641,0.5580
30,0.6818,0.5601
31,0.7821,0.4438
32,0.9117,0.7764
33,0.6003,0.4080
34,0.5351,0.3499
35,0.6658,0.3684
36,0.5290,0.6563
37,0.7123,0.5447
38,0.7601,0.6712
39,0.7528,0.6548
40,0.7575,0.6265
41,0.7718,0.7002
42,0.4558,0.4126
43,0.7166,0.6315
44,0.6615,0.3994
45,0.1634,0.7978
46,0.8361,0.8031
47,-0.0060,0.0457
48,0.7498,0.5953
49,0.8465,0.6617
50,0.5424,0.4100
51,0.2078,0.0148
52,-0.0023,0.1066
53,0.0718,0.0930
54,0.0443,0.0550
55,-0.0149,0.0822
56,0.0696,0.1588
57,0.0416,0.0123
58,0.1201,0.1524
59,0.1893,0.3171
60,0.0302,-0.0260
61,0.5023,0.2088
62,0.0358,0.0368
63,0.1862,0.1424
64,0.1093,0.0530
65,0.1254,0.0484
66,0.0392,0.0039
67,0.2088,0.2668
68,-0.0400,0.0137
69,0.0873,-0.0334
70,0.0001,0.0350
71,-0.0907,-0.0213
72,-0.0427,-0.0265
73,0.0479,0.0598
74,-0.0097,-0.0389
75,-0.3420,-0.0637
76,0.1490,0.0714
77,0.0593,0.0372
78,-0.0398,-0.0093
79,0.2577,0.1766
80,0.2362,0.1992
81,0.1380,0.1937
82,0.1410,0.0720
83,-0.0342,-0.0202
84,0.1514,-0.0116
85,-0.0274,0.0943
86,-0.2079,-0.0116
87,-0.0138,0.1665
88,0.2789,0.0758
89,-0.0084,-0.0507
90,-0.0716,-0.2056
91,0.2806,0.0322
92,-0.1069,-0.0733
93,-0.1615,0.0413
94,0.1673,0.2035
95,0.2723,0.0296
96,-0.0578,0.0660
97,0.0076,-0.0635
98,-0.0550,0.1114
99,0.2265,0.0625
100,0.2574,0.3525
